Data,Precipitacao,TempMaxima,TempMinima
01/01/2016,0.6,30.6,19.8
02/01/2016,4.7,30.4,18.7
03/01/2016,0.6,27.2,19.2
04/01/2016,37.7,28.8,18.9
05/01/2016,0,26.4,17.1
06/01/2016,7.4,25.2,18
07/01/2016,1.2,26.9,19.3
08/01/2016,1.4,25.4,19.2
09/01/2016,7.8,26,17.9
10/01/2016,3,28.2,17.1
11/01/2016,9,28.1,17.1
12/01/2016,1.1,25.9,19.1
13/01/2016,38.7,26.8,19.1
14/01/2016,0.7,25.4,19
15/01/2016,11.4,24.8,18
16/01/2016,3.9,25.4,19
17/01/2016,0.2,25.4,19.6
18/01/2016,12.1,25.2,19.5
19/01/2016,8.4,26.1,18.8
20/01/2016,99.6,25.7,17.5
21/01/2016,7.5,26.3,19
22/01/2016,55.2,28,17.8
23/01/2016,48.1,26.8,17.1
24/01/2016,7.9,28.6,17.9
25/01/2016,0.1,29.8,18.5
26/01/2016,0.3,28.4,18.7
27/01/2016,9.9,27,18.5
28/01/2016,0,27.1,18
29/01/2016,19.1,26.8,19.4
30/01/2016,0,29.2,19
31/01/2016,0,28.6,19.6
01/02/2016,0,29.6,19.4
02/02/2016,0,30.4,18.2
03/02/2016,1.4,30.1,17.5
04/02/2016,0,30,18.5
05/02/2016,0.4,28.8,18.5
06/02/2016,3.9,30.8,11.9
07/02/2016,0,30.9,18
08/02/2016,0,30.6,19.2
09/02/2016,6.3,28.4,19.6
10/02/2016,0,31.2,18.7
11/02/2016,0,31.4,19.8
12/02/2016,0,31,20.2
13/02/2016,0,29.2,20.2
14/02/2016,19,28.8,18.8
15/02/2016,24.1,28.5,18
16/02/2016,0,30.7,18.2
17/02/2016,0,31.1,19.3
18/02/2016,0,30.6,19.1
19/02/2016,0,30.3,17.6
20/02/2016,0,30.4,19.4
21/02/2016,0,29.7,19
22/02/2016,10.4,30.3,17.7
23/02/2016,0.5,30.4,18.7
24/02/2016,0,29.7,20.5
25/02/2016,0,29.9,17.8
26/02/2016,0,30.3,19.7
27/02/2016,0,30.2,18.9
28/02/2016,18.8,30.4,18.3
29/02/2016,0,31.3,19.8
01/03/2016,6.5,29.6,19.3
02/03/2016,0,30.9,19.4
03/03/2016,1,24.8,19.7
04/03/2016,2,29.9,18.9
05/03/2016,8.2,26.9,18.5
06/03/2016,2.1,28.2,19.2
07/03/2016,0.5,27.9,20.4
08/03/2016,8.1,28.7,19.5
09/03/2016,53.6,28.7,19
10/03/2016,0.7,28.2,19.4
11/03/2016,9.2,29.2,19.7
12/03/2016,3.4,28.3,19.1
13/03/2016,39.5,29.8,18.4
14/03/2016,1.6,28.7,20
15/03/2016,0,28.6,19.3
16/03/2016,0,28.2,18.5
17/03/2016,0,28.6,18.8
18/03/2016,0,31.2,19.6
19/03/2016,0,30.8,18.4
20/03/2016,0,30.9,18.3
21/03/2016,0,30.8,19.8
22/03/2016,0,30.6,18.5
23/03/2016,0,31.3,18.9
24/03/2016,0,30.2,18.9
25/03/2016,0,28.3,19.3
26/03/2016,1.4,28.8,18.9
27/03/2016,12.8,29.8,19.8
28/03/2016,0,30.2,17.8
29/03/2016,0,30.4,17.8
30/03/2016,0,30.4,17.4
31/03/2016,0,30.1,17.4
01/04/2016,0,30.1,18.8
02/04/2016,0,30.2,17.2
03/04/2016,0,30.6,18.3
04/04/2016,0,30.6,18.5
05/04/2016,0,30.8,20.1
06/04/2016,0,30.4,19.1
07/04/2016,0,31.3,17.2
08/04/2016,0,31.6,17.4
09/04/2016,0,31.4,18.2
10/04/2016,0,31.1,17.2
11/04/2016,0,30.7,16.8
12/04/2016,0,30.4,17.9
13/04/2016,0,29.8,19
14/04/2016,0,30.4,18.5
15/04/2016,0,29.9,16.7
16/04/2016,0,29.7,20.6
17/04/2016,0,29.3,18.5
18/04/2016,0,29.6,18.5
19/04/2016,0,29.4,19
20/04/2016,0,28.6,19.1
21/04/2016,0,28.8,18.9
22/04/2016,0,30.1,17.5
23/04/2016,0,30.2,17
24/04/2016,0,30.6,16.5
25/04/2016,0,30.5,17.4
26/04/2016,0,30.2,18
27/04/2016,0,25.8,18.5
28/04/2016,0.2,24.9,15.7
29/04/2016,1.3,28.6,16.8
30/04/2016,9.5,27.2,16
01/05/2016,0,29,15
02/05/2016,0,29.4,15.6
03/05/2016,0,30,17.5
04/05/2016,0,28.4,16
05/05/2016,0,29.8,15
06/05/2016,0,28.1,16.9
07/05/2016,0,29.8,16.8
08/05/2016,0,28.8,15.6
09/05/2016,0,30.2,18
10/05/2016,0,29.7,16
11/05/2016,0,29.9,15.3
12/05/2016,0,29.9,16.3
13/05/2016,0,29.9,16.8
14/05/2016,0,30.1,19.2
15/05/2016,0,29.6,18.8
16/05/2016,0,28.5,17
17/05/2016,3.5,29.2,16.6
18/05/2016,0.2,28.2,19
19/05/2016,0.2,29.2,17.8
20/05/2016,0,28.2,18.8
21/05/2016,0,28.1,18
22/05/2016,0,28.2,19.1
23/05/2016,0,29.2,16.1
24/05/2016,0,28.6,16.8
25/05/2016,0,27.9,17.6
26/05/2016,0,27.3,15.1
27/05/2016,0,29.3,14
28/05/2016,0,26.8,16.8
29/05/2016,0,29.2,15
30/05/2016,0,29.7,14.4
31/05/2016,0,30,15.3
01/06/2016,0,31.2,15.6
02/06/2016,0,30,16
03/06/2016,0,30,16
04/06/2016,0,30.1,16
05/06/2016,0,31.5,17.3
06/06/2016,0,31.6,16.5
07/06/2016,0,30.2,17.1
08/06/2016,0,30.1,17.5
09/06/2016,0,28.7,15.1
10/06/2016,0,28.4,15.8
11/06/2016,0,28.1,15.7
12/06/2016,0,28,13.5
13/06/2016,0,27,12.3
14/06/2016,0,21.8,16.6
15/06/2016,0,26.2,14.5
16/06/2016,0,26.5,13.4
17/06/2016,0,27.4,11.2
18/06/2016,0,28.4,9.9
19/06/2016,0,27.9,11.2
20/06/2016,0,27.4,14.6
21/06/2016,0,28.2,14.7
22/06/2016,0,26.5,15.6
23/06/2016,0,28,16.3
24/06/2016,0,28.1,12.8
25/06/2016,0,25.8,16
26/06/2016,0,25.5,13.7
27/06/2016,0,24.2,13.2
28/06/2016,0,25.7,12.4
29/06/2016,0,25.5,14.2
30/06/2016,0,25.3,14
01/07/2016,0,25.7,14.4
02/07/2016,0,26.2,13.9
03/07/2016,0,26.4,15.1
04/07/2016,0,26.8,14.1
05/07/2016,0,26.6,14.8
06/07/2016,0,27.6,15.1
07/07/2016,0,29.1,14
08/07/2016,0,29,18.3
09/07/2016,0,29.6,18.7
10/07/2016,0,30,14.8
11/07/2016,0,29.4,13.5
12/07/2016,0,29.5,13
13/07/2016,0,29.3,13
14/07/2016,0,30.8,12.8
15/07/2016,0,30.6,13.9
16/07/2016,0,30.6,14
17/07/2016,0,29.8,15.4
18/07/2016,0,30,12.5
19/07/2016,0,30.6,13.8
20/07/2016,0,30.4,14.2
21/07/2016,0,30.1,14.3
22/07/2016,0,28.8,14
23/07/2016,0,28.4,17.4
24/07/2016,0,27.4,16.3
25/07/2016,0,27.2,15
26/07/2016,0,28.1,16
27/07/2016,0,28.8,13.5
28/07/2016,0,28.5,16
29/07/2016,0,27.5,15
30/07/2016,0,25.8,14.6
31/07/2016,0,25.8,13.7
01/08/2016,0,26.4,14.3
02/08/2016,0,27.6,11.8
03/08/2016,0,28.2,13.2
04/08/2016,0,27.9,15
05/08/2016,0,25.7,16.7
06/08/2016,0,28.4,12.8
07/08/2016,0,29.8,13.1
08/08/2016,0,31.2,13.7
09/08/2016,0,31.8,15.1
10/08/2016,0,32.2,16.1
11/08/2016,0,30.8,15.8
12/08/2016,0,29.9,15.7
13/08/2016,0,30.1,16
14/08/2016,0,30.1,19
15/08/2016,11.1,31.8,16.2
16/08/2016,0,25.2,17.2
17/08/2016,0,29,17.1
18/08/2016,0,32,16.6
19/08/2016,0,32.4,20.1
20/08/2016,0,32.4,19.6
21/08/2016,0,30,18.3
22/08/2016,0,27.8,11.1
23/08/2016,0,30.2,14.8
24/08/2016,6.4,27.6,17.4
25/08/2016,0,28.6,16.8
26/08/2016,0,28.7,15.8
27/08/2016,0,29.8,16.1
28/08/2016,0,30.2,18.3
29/08/2016,3.4,29.4,17.6
30/08/2016,0,30.9,15.8
31/08/2016,0,31.7,17.7
01/09/2016,0,32.9,17.5
02/09/2016,0,30.8,19.5
03/09/2016,0,29,17.8
04/09/2016,0,30.2,17.8
05/09/2016,0,30,18.3
06/09/2016,0,31,16
07/09/2016,0,32.4,16.7
08/09/2016,0,30.7,18.6
09/09/2016,0,32.6,18.3
10/09/2016,0,31.2,19.4
11/09/2016,0,30,19.2
12/09/2016,0,30.7,16
13/09/2016,0,31.6,16.3
14/09/2016,0,34.2,18.3
15/09/2016,0,34.1,19.1
16/09/2016,0,34.9,20.1
17/09/2016,0,34,20.6
18/09/2016,0,33.2,18.6
19/09/2016,0,33.9,20.6
20/09/2016,0,33.3,17.7
21/09/2016,0,32,20.5
22/09/2016,0,32.4,19.8
23/09/2016,0,31.4,19.2
24/09/2016,18,27.8,17.2
25/09/2016,14.1,30.5,17.2
26/09/2016,0.4,30.1,16.9
27/09/2016,23.3,31.5,16.9
28/09/2016,0,31.2,17.7
29/09/2016,0,30.2,18.6
30/09/2016,0.1,31.2,19
01/10/2016,0,29.4,19.3
02/10/2016,0.2,31.2,18.9
03/10/2016,0,30.4,20.6
04/10/2016,3.5,24.1,17.9
05/10/2016,7.1,26.3,16.5
06/10/2016,14.6,26.4,16
07/10/2016,0,30.3,14.6
08/10/2016,0,31.8,15
09/10/2016,0,31,17.9
10/10/2016,0,30.4,20.1
11/10/2016,0,30.4,20.1
12/10/2016,0,30.5,19.5
13/10/2016,0,30.3,21.5
14/10/2016,0,30.9,20.6
15/10/2016,0,32.6,20.6
16/10/2016,0,33.5,21.7
17/10/2016,0,33.9,21.6
18/10/2016,0,33.5,21.1
19/10/2016,1.4,33.8,19.5
20/10/2016,1.2,28.7,20.6
21/10/2016,16.9,30.5,19.1
22/10/2016,14.8,29,17.9
23/10/2016,6.6,30,17.8
24/10/2016,0,31.6,19
25/10/2016,0,32.6,19.6
26/10/2016,0,31.6,17.5
