Data,temp max,temp min,chuva media,chuva media2,chuva total,desvio (k)
01/01/2016,27.06,18.53,13.25,100,3000,0
01/02/2016,30.1,18.69,2.95,100,3000,0
01/03/2016,29.36,19.04,4.86,100,3000,0
01/04/2016,29.77,17.95,0.35,100,3000,0
01/05/2016,28.95,16.67,0.13,100,3000,0
01/06/2016,27.85,14.65,0,100,3000,0
01/07/2016,28.51,14.69,0,100,3000,0
01/08/2016,29.42,15.83,0.67,100,3000,0
01/09/2016,31.64,18.29,1.8,100,3000,0
01/10/2016,30.32,18.97,2.7,100,3000,0
31/10/2016,27.84,18.38,7.38,100,3000,0
01/12/2016,28.82,18.35,5.04,100,3000,0
01/01/2017,29.15,18.5,4.73,100,3000,0
01/02/2017,27.88,18.39,8.93,100,3000,0
01/03/2017,29.03,18.32,5.72,100,3000,0
01/04/2017,28.52,18.62,0.86,100,3000,0
01/05/2017,27.28,16.8,2.07,100,3000,0
01/06/2017,26.14,15.02,0,100,3000,0
01/07/2017,23.47,12.84,0,100,3000,0
01/08/2017,28.59,14.81,0,100,3000,0
01/09/2017,28.04,16.87,0.3,100,3000,0
01/10/2017,31.01,18.87,1.07,100,3000,0
01/11/2017,26.67,18.27,10.5,100,3000,0
01/12/2017,26.34,18.47,8.64,100,3000,0
01/01/2018,27.38,18.02,4.87,100,3000,0
01/02/2018,27.01,18.39,8.85,100,3000,0
01/03/2018,27.53,18.79,7.79,100,3000,0
01/04/2018,25.58,17.39,7.06,100,3000,0
01/05/2018,25.58,14.67,0.35,100,3000,0
01/06/2018,25.81,13.59,0,100,3000,0
30/06/2018,25.77,13.05,0,100,3000,0
01/08/2018,28.2,15.99,0.68,100,3000,0
01/09/2018,30.23,17.9,1.25,100,3000,0
01/10/2018,29.21,19.6,7.87,100,3000,0
01/11/2018,25.96,18.33,11.99,100,3000,0
01/12/2018,27.37,18.11,5.75,100,3000,0
01/01/2019,28.48,18.63,2.4,100,3000,0
01/02/2019,28.18,18.81,6.83,100,3000,0
01/03/2019,27.05,18.8,8.57,100,3000,0
01/04/2019,27.26,18.2,10.08,100,3000,0
01/05/2019,27.03,16.85,2.45,100,3000,0
01/06/2019,25.39,14.47,0.22,100,3000,0
01/07/2019,25.75,12.83,0,100,3000,0
01/08/2019,27.96,15.43,0,100,3000,0
