current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.1357332963122089,73.35962728884242,39895.9341797236
02/2016,-0.7057371063318844,375.36209664051313,45446.39502076014
03/2016,-1.469647968797259,407.7386890518444,42287.120545674356
04/2016,-2.1266568717089975,567.7217980931565,27898.560068050818
05/2016,7.1485953361305485,550.7352437782207,17370.956297971676
06/2016,40.66932103611692,343.25257857889363,10466.000439259908
07/2016,45.387899503549924,440.8340517589593,6354.635571618175
08/2016,43.26298229229957,523.26072950881,4142.86163050014
09/2016,43.33536573024499,418.07576062939376,4882.800906773437
10/2016,63.61568344197613,222.65598284884786,18313.044632602694
11/2016,107.85673522735179,259.9227374966379,31975.323272369325
12/2016,111.33159171637813,411.2388707475955,43741.835116163
01/2017,110.76128315245869,474.3220585672841,42351.701263524956
02/2017,100.89515331481113,227.54286848331495,43174.070589340656
03/2017,113.59796134466269,163.24859999428833,40201.13486757198
04/2017,111.02768607840869,279.0190609921898,26334.91256292269
05/2017,111.76828321688983,333.567374631971,16468.208572792864
06/2017,105.26605358376783,408.38161898097906,9699.022690698119
07/2017,116.19111798352944,284.8382169639587,6146.835648387445
08/2017,160.13051493921583,151.0699788955715,4406.668387186394
09/2017,175.9677597325912,333.4181641460115,6943.073460569049
10/2017,181.0545154432001,529.745846349681,20438.772011773923
11/2017,174.43517874181683,371.21096909377684,34007.57757723265
12/2017,180.19800817723967,239.09548215747492,43369.923012219755
01/2018,181.8193578279223,260.6314593723281,43775.7024623507
02/2018,163.62664991158178,246.20027519716066,42104.361738640655
03/2018,180.49659103889218,335.25033924588803,37931.28499225564
04/2018,174.01222060693138,307.7102625826936,24497.18072034238
05/2018,211.05845913519653,276.8614768761948,15428.27797990789
06/2018,213.5084109686494,323.6091741997209,9065.735637637474
07/2018,218.6369676342281,397.7828036147441,5671.546657561741
08/2018,217.0513152688495,441.27892663861684,4084.506840803766
09/2018,210.0845097850619,199.84252835601677,9068.760697302547
10/2018,241.7467666440509,242.5195117877905,23121.882873572664
11/2018,235.0130969268681,174.57494276158013,36284.283902885305
12/2018,241.9259102254012,397.8701099623079,42682.22275646106
01/2019,242.1761345356166,309.3255196191037,44967.91214329911
02/2019,219.60831920524905,124.02475959263559,41168.56402997581
03/2019,245.99125396414482,171.45887456907312,35960.970232733285
04/2019,234.84587888931205,246.58273721815283,22738.36640959651
05/2019,238.97480413463168,350.789946068686,14257.57404316209
06/2019,229.4695407279534,430.2607018812143,8272.591434372278
07/2019,304.6887283776276,229.49821896554437,5482.251730469823
08/2019,334.9414930336377,203.46874383429358,4068.1923570615077
01/2016,18.59635657836039,169.78187874878708,39955.78650163985
02/2016,6.117203455841364,349.1558430586093,45469.47260551036
03/2016,5.747842630958596,446.61790502562644,42257.163306960916
04/2016,4.783578420852269,434.3653746603708,28028.215492677646
05/2016,8.25505374671334,299.81512910022053,17601.065733832158
06/2016,6.065855533768295,341.69335636475944,10467.446213368092
07/2016,4.533256108253839,477.2373824722134,6324.044998586585
08/2016,10.359145695485195,207.20213517095715,4451.443274890036
09/2016,44.94994803314119,251.66676726011858,5017.311699607573
10/2016,59.23018163297364,358.1907406338594,18190.05991603175
11/2016,56.54128198518676,361.65325237817456,31883.802138108265
12/2016,57.62166025173487,388.2027559301828,43772.07146440302
01/2017,60.14430041779378,274.40798994709064,42537.270355005734
02/2017,54.59406724314306,221.7893297970729,43179.04760842153
03/2017,59.78193688965499,357.79280003537195,40025.86732125058
04/2017,57.191356932984625,379.4421024157115,26242.724769998473
05/2017,66.3113656691037,339.9812456800899,16470.446131351324
06/2017,80.08386506338135,218.78242594115682,9868.986823219338
07/2017,82.79970642544403,259.30206668518804,6166.6431526389615
08/2017,80.77879239486319,455.8443803502227,4129.249664756846
09/2017,77.94831963282506,222.65735441565232,7058.435336161315
10/2017,102.38578207052007,204.42762601867386,20736.959449470905
11/2017,121.72925954584652,201.44890360641983,34156.20338853385
12/2017,124.82061617810602,247.20279395639767,43359.01134233362
01/2018,124.30216072352627,278.7605486658679,43760.4103716833
02/2018,112.63251845976752,135.13713775920667,42206.82354275952
03/2018,126.84370958351407,115.59013116483082,38128.28041086459
04/2018,121.95245586513371,177.97921589388656,24617.190756066044
05/2018,122.31843805485214,308.77849996230464,15395.787899027035
06/2018,114.79248079208128,373.348663276035,9019.775269093541
07/2018,130.89275538173212,339.819505974324,5742.464732253294
08/2018,169.760572519431,120.31471053846255,4373.5009102608565
09/2018,185.3048925149634,96.72826768968058,9150.68699645639
10/2018,190.64175145215782,261.7659377522009,23108.417371999338
11/2018,183.55686040077882,185.6576994914008,36275.01085894446
12/2018,189.2839456690579,294.0435647025658,42776.66012101928
01/2019,189.915987554618,190.64721919357106,45076.60632096136
02/2019,173.80065979528996,117.44471793532715,41170.82667052768
03/2019,191.80751817089003,187.0774205521639,35951.711843896264
04/2019,182.04069946624816,219.16263974073266,22762.818784405394
05/2019,184.4095986851102,333.72234241718496,14271.003245905451
06/2019,203.3581264877643,290.24971053212715,8406.398355100084
07/2019,276.11680742116215,119.85529360979197,5582.669155286369
08/2019,293.6912561040245,138.9159071017255,4123.911790670997
01/2016,16.85858952898625,159.78637013814705,39963.869848685965
02/2016,6.117282812170398,332.916092257756,45484.46794006723
03/2016,5.74803132915469,425.84505065412486,42276.35188963334
04/2016,4.783880662510772,414.16240346214954,28046.407247863764
05/2016,8.25545723446284,285.87028733483163,17613.82154836664
06/2016,6.066330891938907,325.80069677452764,10481.818142176106
07/2016,4.533853646202832,455.04037125708305,6344.396618373511
08/2016,10.359833057191395,197.5648597036345,4459.944288599245
09/2016,44.950665581198265,239.96137648287004,5028.2347963993525
10/2016,59.23100714012488,341.53076348408393,18205.007405217177
11/2016,56.542172526029475,344.83222872440797,31899.60041396493
12/2016,57.622681748411715,370.1468758931061,43788.439510287324
01/2017,60.14541223204232,261.6448715198966,42548.859579574055
02/2017,54.595124582364505,211.47358249454768,43188.1840310853
03/2017,59.78318608677408,341.15133168698566,40040.87284447259
04/2017,57.19265719246978,361.7936932337157,26259.404908121003
05/2017,66.31281085888997,324.16821887107966,16484.674369829987
06/2017,80.08532893295994,208.6065341509279,9878.362008721702
07/2017,82.80128228139921,247.24154692350996,6177.6391119165955
08/2017,80.78046038929277,434.64238906745226,4149.0305714440765
09/2017,77.95002771061772,212.30123401390804,7067.385381700751
10/2017,102.38759267569633,194.91939704483985,20745.73947352972
11/2017,121.73106665140254,192.07921938456877,34164.7109386743
12/2017,124.82253590430547,235.7050291303549,43369.39665324142
01/2018,124.30415732825705,265.7949863433638,43772.4441902455
02/2018,112.63437188584228,128.85171110867302,42212.49586884882
03/2018,126.84579010927217,110.21386448485521,38133.318308684786
04/2018,121.95450688651756,169.70114129966353,24624.919455794137
