current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.15773325709420694,60.66800526360151,39911.06378524487
02/2016,-0.7341302512503698,299.0492474664242,45517.29510337389
03/2016,-1.5056784069111582,323.0372702955759,42365.96469262864
04/2016,-2.166966359814968,451.81951224454053,28005.383380007956
05/2016,10.327944829780664,432.69125087861585,17482.34999994801
06/2016,42.83070179668677,275.84904419387766,10527.508257215577
07/2016,47.6925896332492,343.3636619453212,6446.922827982741
08/2016,45.61239193687209,413.7729591057831,4249.066391581877
09/2016,45.23138122048031,313.56115780884915,4971.397562719737
10/2016,72.48724737811379,179.92013975191983,18345.36376633391
11/2016,109.75073254898257,211.65101721038553,32022.89126982005
12/2016,113.53962505780264,331.1161691395717,43817.71307721388
01/2017,113.02111068985862,367.0703085382562,42453.1295950583
02/2017,102.50732025103406,187.02379834088325,43211.2362792008
03/2017,115.41487261515307,141.78242872956756,40216.50248076574
04/2017,112.61792672582565,232.08303468144697,26381.515897057136
05/2017,114.10001082921622,268.57994630209845,16529.441162165316
06/2017,107.99787079349387,321.9657637381562,9777.966504498121
07/2017,118.32965091611422,214.0838056798239,6208.8584404131025
08/2017,150.56828627221395,121.8011438770892,4433.5233808039275
09/2017,159.46924796258682,266.30358761236243,7005.892733823798
10/2017,164.7170676051873,419.53206150111214,20539.967942597785
11/2017,158.72813077972478,291.62274659433643,34078.93983069092
12/2017,164.0637844981725,186.22040396153565,43417.16475194645
01/2018,165.67044211712906,209.72752342062856,43823.02228699319
02/2018,149.08851464737856,192.5220368999479,42152.83445798721
03/2018,164.47248978860483,263.0034780738519,37996.89206699214
04/2018,158.46417754226903,243.03074694299767,24558.454036043127
05/2018,216.20702494124413,219.75623692408627,15483.055919928835
06/2018,220.19368570201908,262.9613578867911,9122.597136206325
07/2018,226.23945750202802,313.9043744085812,5751.7115216506445
08/2018,225.10939780597855,340.05369969434014,4174.042761064298
09/2018,219.3237249011359,155.80770134835188,9103.47255986149
10/2018,319.7055428235402,198.35697439430302,23160.663429934673
11/2018,312.502602974367,140.53034671615276,36317.80603440629
12/2018,322.0748045937016,314.1511179945721,42758.57612413158
01/2019,323.08918086283416,256.8573331837112,45020.30789201114
02/2019,292.7827786777688,102.7071551944475,41187.334922498056
03/2019,327.23164975175104,142.99707742003872,35988.44651173529
04/2019,313.55710285090953,196.34825793202305,22784.343800077695
05/2019,321.2009232874302,275.6757257890034,14325.794900963216
06/2019,309.0542898715685,339.02592408482707,8354.776347768619
07/2019,374.0047308198251,164.53946589941054,5534.5707592226645
08/2019,390.4388002177303,160.40458687995576,4107.22617194595
01/2016,7.319233992082637,190.79971542791714,39932.80738736999
02/2016,6.098484673894032,410.17147863694254,45413.77997484674
03/2016,5.7179462321431425,524.3650985744588,42186.08548180129
04/2016,4.744850988606908,510.77132319620404,27960.094457857434
05/2016,9.474682196188466,356.4076458648902,17549.75295778497
06/2016,7.432015985487436,409.7324889725021,10406.916770195403
07/2016,5.873969732505006,572.3866751867914,6238.3736736671135
08/2016,9.546469014020492,240.96081323974812,4414.5852227392315
09/2016,53.62998233859164,296.2935712895452,4973.854307110603
10/2016,72.30287461481399,427.38040455989636,18127.951981319697
11/2016,69.19119646442823,430.8686195947486,31818.849271050087
12/2016,70.6920889055921,464.88934440861595,43702.438682691594
01/2017,72.82283083076847,329.08313433009727,42487.71259004922
02/2017,65.97577327878042,264.83884308928424,43140.90834694701
03/2017,72.37811880954328,424.4352874575943,39963.63344492057
04/2017,69.37616256625112,454.4088029003152,26173.193530225897
05/2017,81.44894607150202,412.69874935497563,16408.56075832153
06/2017,98.37188662649434,264.5300219428127,9829.069351306985
07/2017,101.81066619390836,310.8684263312994,6120.424916656444
08/2017,99.79508581586197,546.4587858283318,4046.748899733438
09/2017,96.11726303181513,262.50508794470886,7019.211778261651
10/2017,119.35699233532942,238.57269618574026,20702.125157273575
11/2017,136.878064491371,240.3105724880179,34120.926976371185
12/2017,140.467158403517,294.33695407596264,43316.908409212294
01/2018,139.93042536303557,345.0042342826184,43702.06553079409
02/2018,126.72689345332127,172.08323223007736,42174.996398298346
03/2018,142.69444611179927,139.80823556575592,38105.49220097554
04/2018,137.69037897656986,211.56401107763358,24585.864230363524
05/2018,138.72831317415702,366.65725113176654,15342.286830036552
06/2018,130.82349902761422,445.1588423899486,8953.531769333664
07/2018,142.10615213134392,390.85994121576545,5694.743159358799
08/2018,165.32047786245866,161.3352888670055,4322.490329691549
09/2018,174.6240982502656,389.5365712364616,8885.741895103083
10/2018,179.63976182674975,387.1720842272487,22992.04908410663
11/2018,173.06604399703835,294.84083252265464,36181.98161481205
12/2018,178.9971395129682,334.0784612523995,42741.978981314154
01/2019,180.9501960363152,317.09780324806627,44957.73278497158
02/2019,162.83702327573178,313.39522639993737,40995.40766011055
03/2019,179.61760550139687,312.42358681173397,35835.56646569712
04/2019,173.24468471032418,360.8913014445785,22633.723672534943
05/2019,212.5551589522614,262.8930236489376,14348.420215845848
06/2019,213.80166709095164,309.85031281853674,8378.277828808352
07/2019,218.94560922554072,411.97518823720594,5303.757675971309
08/2019,210.11110852303875,439.86307982364053,3864.79844635933
01/2016,6.9626519894727865,78.81901981965537,40040.11861797636
02/2016,5.098252588841507,125.62570861440292,45675.830023223825
03/2016,3.9368827163595665,146.5626945834616,42529.4959325018
04/2016,2.3210286727176794,179.8141339558122,28254.129305036917
05/2016,21.02797771792197,224.767583735837,17661.173526090464
06/2016,27.79464484439939,344.28713719918653,10465.758339144924
07/2016,26.738243407192957,473.92655124946845,6328.835820917571
08/2016,28.868858368077678,282.5059132064138,4375.643132503952
09/2016,53.20039736916348,196.13444350855494,5069.683258291465
10/2016,92.96702157563661,334.9593240642663,18208.75488028479
11/2016,89.18934445374663,315.11431711593406,31926.193633073264
12/2016,91.35723752592604,424.02879256425456,43739.34129321032
01/2017,92.2691422530151,311.2150002507806,42505.72161181966
02/2017,84.6067299821901,213.79981009163862,43185.733056013836
03/2017,93.00565718534475,340.1539851601675,40039.25190090732
04/2017,89.33875365331647,365.21577269960727,26255.94724578999
05/2017,93.38800046681156,403.7630858598881,16412.51429929573
06/2017,109.1119070624536,215.825699426818,9877.655572855321
07/2017,115.85982070328772,257.66148354870654,6168.017127944058
08/2017,113.84476446501189,422.3788571441632,4157.348166090659
09/2017,109.08452366415885,301.04090584858164,6986.552411338322
10/2017,119.2890649221867,168.6363994057655,20767.273334531954
11/2017,150.6975211083106,188.10377356521,34168.317520112796
12/2017,154.74754220503252,226.66103334476074,43378.000396437565
01/2018,153.92371927112424,331.47010794554666,43715.159705814745
02/2018,139.12882990017758,183.07111369068474,42165.92341280135
03/2018,155.77102985136852,94.81155315241884,38145.80731849047
04/2018,153.97431693034923,167.21690231706893,24627.218945148466
05/2018,157.3033849336769,298.87969909490937,15404.009643175381
06/2018,150.68951411768003,359.280878896316,9040.166123229688
07/2018,156.61024997479046,215.9741889451193,5843.525476509042
08/2018,176.89285255424784,112.14530711109087,4367.678569548825
09/2018,172.69330293006882,351.6611158337241,8921.612141196825
10/2018,177.64480233565135,363.5603440130208,23012.80886619729
11/2018,171.13565216827578,236.61702208575855,36235.67560294594
12/2018,177.81536031611068,245.97030864970776,42821.38708134603
01/2019,178.9830739971739,280.36126704351267,44991.99312740621
02/2019,161.06047894735164,275.00543023942987,41030.3674228423
03/2019,177.6509339470125,276.40025467453614,35869.47517607567
04/2019,175.8105111023545,294.25899892148226,22701.19551634026
05/2019,215.80972200968168,207.94167874052053,14390.34316521699
06/2019,211.61683459732026,270.466969924472,8413.974628191881
07/2019,216.68820390326601,376.4141546416047,5337.338730844765
08/2019,208.0718261789783,309.73611317158054,3981.477083910832
01/2016,6.962666208680384,73.8093933337471,40043.77970577983
02/2016,5.09828747655969,120.44137531520235,45680.61891227273
03/2016,3.9369502620552637,140.51433182133113,42535.28268140374
04/2016,2.3211356526583833,172.39354773491868,28260.947217628745
05/2016,21.028130150711256,215.4918544142278,17670.010805858616
06/2016,27.794863061757532,330.0790639508454,10478.579733072398
07/2016,26.738557416713235,454.3685067367847,6346.695434050663
08/2016,28.869269839465147,270.84743319295916,4386.313928932461
09/2016,53.200842241100375,188.0403492517604,5077.213687631302
10/2016,92.9675438351132,321.1361918664273,18221.245789105298
11/2016,89.18992259509683,302.11015049034825,31938.46150624689
12/2016,91.3579260256344,406.5299333470046,43755.21483237309
01/2017,92.26992197842848,298.3717509922776,42517.306305110156
02/2017,84.60748159539442,204.97669986168557,43193.56360694292
03/2017,93.00655568621812,326.1164792103745,40052.01345085506
04/2017,89.33970100726133,350.1440145962441,26270.20131604296
05/2017,93.38907213555872,387.100553691123,16427.529282357165
06/2017,109.11301352023172,206.91898460942258,9885.616123087717
07/2017,115.86101616036945,247.02828574376426,6177.7167787273265
08/2017,113.8460358707409,404.9480876136044,4173.7395408660805
09/2017,109.08584816388493,288.6175220537668,6997.459962810165
10/2017,119.29048032575417,161.6770969625045,20773.812564198553
11/2017,150.6989296505038,180.3410897343655,34175.36606175617
12/2017,154.74904163749233,217.30716497051515,43386.43129836354
01/2018,153.92528787597658,317.7909690394621,43727.704324903134
02/2018,139.13030158376733,175.51611813048822,42172.64415104527
03/2018,155.77269133220432,90.89886125536664,38149.55397708711
04/2018,153.9759523416666,160.3161798102415,24633.662521367027
05/2018,157.30513200087736,286.54550417921087,15415.291608616073
06/2018,150.69128306920916,344.4540425363683,9053.557542355598
07/2018,156.61214397944477,207.06134624862318,5851.819635648279
08/2018,176.894775357125,107.51728426116884,4372.101971478762
09/2018,172.6952200985264,337.1487325567729,8935.146124403487
10/2018,177.64686867580397,348.55690229297613,23026.312624749873
11/2018,171.13772176390222,226.8522890523144,36244.717064343495
12/2018,177.81755415967967,235.81958332594928,42830.43386615715
01/2019,178.98532601848137,268.79129248519104,45002.71639571366
02/2019,161.0625742933812,263.6564808470139,41040.75497928593
03/2019,177.65331789500544,264.9937435390245,35880.00798236843
04/2019,175.81288346273976,282.1154914855914,22712.09740122126
05/2019,215.81222731485985,199.36032241404519,14398.105131575385
06/2019,211.61931506614727,259.30531412981907,8424.077052784416
07/2019,216.6908405337997,360.8802606821386,5351.725608202457
08/2019,208.07446407359805,296.95389476110233,3992.9750128153837
01/2016,6.962639521711598,82.70098140909933,40034.662858892414
02/2016,5.098185228462571,139.18779485624395,45663.302409250035
03/2016,3.9367315721502965,162.3850602895017,42514.3579421106
04/2016,2.320773545198784,199.22620190836741,28236.293816224126
05/2016,21.027604511199044,249.03265963962505,17638.055423252164
06/2016,27.79409872257868,381.4551014491138,10432.217893315214
07/2016,26.737447519783046,525.089906515165,6282.115519660267
08/2016,28.86780752286087,313.0042053234795,4347.7285959414785
09/2016,53.19925832463387,217.3083916374617,5049.983843487116
10/2016,92.96568091154967,371.1202921541014,18176.078975228924
11/2016,89.18785677976479,349.132891752457,31894.101183691142
12/2016,91.3554619815505,469.8053706007728,43697.81651178436
01/2017,92.26712806447682,344.812619079828,42475.4163439243
02/2017,84.60478686155456,236.88084577241648,43165.24853063859
03/2017,93.00333228317373,376.8757496232671,40005.868005431796
04/2017,89.3363001284215,404.64311492806564,26218.658954526414
05/2017,93.38522256181407,447.3518532555124,16373.235479156934
06/2017,109.10903732591032,239.1254426172543,9856.83097255407
07/2017,115.85671897110343,285.4776630523311,6142.643084099558
08/2017,113.84146405306579,467.9773142633347,4114.468739653925
09/2017,109.08108353533306,333.54016712615993,6958.018529504131
10/2017,119.2853878154964,186.8417605335142,20750.166873281214
11/2017,150.6938611264926,208.4107603089618,34149.878711469566
12/2017,154.74364528086127,251.13051905585678,43355.945367870205
01/2018,153.91964139370427,367.2543931856655,43682.34329604147
02/2018,139.12500309342315,202.8347931130533,42148.342129652214
03/2018,155.7667090126983,105.04705729212304,38136.00615331185
04/2018,153.97006346457596,185.26901979628994,24610.362710925387
05/2018,157.29884020321714,331.1456444954827,15374.4963037634
06/2018,150.68491131405318,398.06751196990365,9005.134505738157
07/2018,156.60532085962686,239.289962514014,5821.828163651622
08/2018,176.88784810365377,124.25209913187625,4356.107060736812
09/2018,172.68831239466488,389.6251475071919,8886.207579635804
10/2018,177.63942239513455,402.80897229142613,22977.483371575356
11/2018,171.13026288721048,262.16131946890374,36212.02336607213
12/2018,177.80964682984614,272.52435221000115,42797.72091855534
01/2019,178.97720831940097,310.62803110362,44963.94132572087
02/2019,161.05502065525442,304.69399799373855,41003.19383499604
03/2019,177.64472315233007,306.239402509067,35841.92161825698
04/2019,175.80432979625306,326.02611064429254,22672.676458165985
05/2019,215.8031937476382,230.39029225647093,14370.03805536322
06/2019,211.6103704822393,299.6655823115591,8387.54693813639
07/2019,216.68133209737726,417.05043271083616,5299.703019516964
08/2019,208.06495024196042,343.17407682867866,3951.3987894790043
01/2016,6.962625420986428,87.62715999857622,40030.848860878155
02/2016,5.098147628180381,145.06535857722517,45657.87316716369
03/2016,3.9366570816380926,169.24218838879145,42507.79740993693
04/2016,2.3206542801085592,207.6390422570122,28228.56423685685
05/2016,21.027433782796102,259.548706158999,17628.03645418521
06/2016,27.793853345803235,397.56302720349606,10417.682068658232
07/2016,26.73709360918918,547.2631824692421,6261.867783227502
08/2016,28.8673431181491,326.22161539613666,4335.6309389540575
09/2016,53.198755985843775,226.48479909669544,5041.446472192323
10/2016,92.96509090456354,386.7918039237777,18161.91782696
11/2016,89.18720335125418,363.875928816051,31880.19289459444
12/2016,91.35468350528608,489.6441144002361,43679.82041999738
01/2017,92.26624616413388,359.3732214841788,42462.28258707006
02/2017,84.60393663050193,246.88375060143028,43156.37090657398
03/2017,93.00231572514305,392.7903004327772,39991.40002687651
04/2017,89.33522811753477,421.73021437311724,26202.498881213207
05/2017,93.38400968052385,466.2424393584388,16356.212746508441
06/2017,109.10778493639747,249.22313133875724,9847.805966146361
07/2017,115.85536574894734,297.5326938633291,6131.646430863796
08/2017,113.84002472668224,487.7388636678443,4095.8855691367294
09/2017,109.07958394808634,347.62476116556905,6945.652459439631
10/2017,119.2837852364007,194.7316358951454,20742.753241318645
11/2017,150.69226625892205,217.2114423308247,34141.887664162605
12/2017,154.74194743683165,261.73515310123685,43346.38711603043
01/2018,153.91786512779822,382.7626573979729,43668.12125556062
02/2018,139.12333650676027,211.40001553492826,42140.72271843753
03/2018,155.7648274517658,109.48294029158939,38131.758504989164
04/2018,153.9682113917568,193.09248212286178,24603.05752284626
05/2018,157.29686161161885,345.1291236393101,15361.70575443938
06/2018,150.682907844505,414.87693961599894,8989.952434161274
07/2018,156.6031756826263,249.39459851259377,5812.424939352688
08/2018,176.8856702776356,129.49896456909042,4351.092177393816
09/2018,172.6861408891532,406.07807453384277,8870.86388082151
10/2018,177.63708183855195,419.81862033183876,22962.173938947282
11/2018,171.1279185725166,273.231757519499,36201.77291294192
12/2018,177.8071617205488,284.03239605312535,42787.46443018378
01/2019,178.974657253047,323.7451010896783,44951.78418050338
02/2019,161.05264701225116,317.5604881228363,40991.417291826634
03/2019,177.64202251852805,319.1711513307313,35829.98040295049
04/2019,175.8016422321846,339.79340426364087,22660.316812408495
05/2019,215.80035552920418,240.11911671864075,14361.238186751647
06/2019,211.60756035385674,312.31973461593515,8376.093653624726
07/2019,216.67834499323328,434.66146315824307,5283.39238061016
08/2019,208.06196163737363,357.66548755928704,3938.3633988326806
01/2016,6.962666246059736,74.00322832366057,40044.699726894425
02/2016,5.098302475145933,116.77244303634441,45684.00799021148
03/2016,3.93698770419718,136.23392929095286,42539.37794083455
04/2016,2.3212013364436053,167.14202806158224,28265.772227545913
05/2016,21.02822766711533,208.92745726729882,17676.26491398158
06/2016,27.795007467825428,320.0240664125402,10487.653383111006
07/2016,26.738769280334143,440.52735558336843,6359.3346119989665
08/2016,28.86955067646602,262.5967727559887,4393.865609582261
09/2016,53.20114704972188,182.31219059123393,5082.542942847752
10/2016,92.96790307640877,311.35361559506896,18230.085556133952
11/2016,89.1903217179578,292.90715293237565,31947.143431825752
12/2016,91.358402914488,394.1460595256093,43766.448473586504
01/2017,92.27046342735467,289.2826340218843,42525.50474697361
02/2017,84.60800415197058,198.7326194651593,43199.10525702728
03/2017,93.00718119207006,316.18219147818,40061.04474954465
04/2017,89.34036142042295,339.47779068407914,26280.28886548048
05/2017,93.3898201916335,375.30854523153624,16438.155326795528
06/2017,109.11378653055014,200.6157375752931,9891.249773167592
07/2017,115.86185182096159,239.5032134919379,6184.581183424815
08/2017,113.84692527989192,392.61240059559174,4185.339652305225
09/2017,109.0867754816321,279.82554222012726,7005.1791940726525
10/2017,119.291471641609,156.75202600374655,20778.440351305984
11/2017,150.69991644477432,174.84746892839894,34180.35428694576
12/2017,154.7500924202637,210.68746912346188,43392.39781448641
01/2018,153.92638761177804,308.1102962541584,43736.58210247707
02/2018,139.13133373132254,170.16947749654068,42177.400391058734
03/2018,155.7738567959742,88.12986459372567,38152.20547263529
04/2018,153.97709969032414,155.43256564202346,24638.222614905604
05/2018,157.30635803378104,277.8166429644218,15423.27581117124
06/2018,150.69252492374918,333.9611487784103,9063.034596984457
07/2018,156.61347399940618,200.75376253856356,5857.689379438986
08/2018,176.89612575747543,104.24205069854484,4375.232395621361
09/2018,172.69656684560314,326.87837600848263,8944.724071071409
10/2018,177.64832065691934,337.9390256165046,23035.869181549013
11/2018,171.13917638308666,219.94182590243213,36251.11567100223
12/2018,177.81909637446103,228.63595495084058,42836.83624017477
01/2019,178.9869094054193,260.60326701060677,45010.305210505765
02/2019,161.06404780439098,255.6248740127501,41048.10621211277
03/2019,177.6549946459396,256.9214004856401,35887.46200794204
04/2019,175.8145523473528,273.52157905003065,22719.812622259713
05/2019,215.81398994979656,193.28733030386545,14403.598244628922
06/2019,211.62106045867924,251.40625423781364,8431.226498922071
07/2019,216.69269610717376,349.8869850428141,5361.90714470547
08/2019,208.0763208757443,287.9079690817393,4001.1120518642483
01/2016,6.962648236336669,79.74051460569076,40037.389630598576
02/2016,5.098214518597597,134.07125866465034,45668.028672536384
03/2016,3.936792738608932,156.41579381176592,42520.06901593239
04/2016,2.3208738074965654,191.90265695652232,28243.022568893746
05/2016,21.027749454656863,239.87823185915087,17646.777135217708
06/2016,27.79430876760829,367.43283150764256,10444.871617964189
07/2016,26.73775192698368,505.7876285151425,6299.741577185814
08/2016,28.868208117390147,301.4981868086187,4358.259847110846
09/2016,53.19969206021116,209.32014631969923,5057.415795105939
10/2016,92.96619084535841,357.4779292716201,18188.40653662546
11/2016,89.1884220419507,336.2987845796825,31906.208626145974
12/2016,91.3561359816169,452.53534930209105,43713.482467834576
01/2017,92.26789209726196,332.1373249086524,42486.84954064769
02/2017,84.60552368162594,228.17311804570267,43172.97667906511
03/2017,93.00421353815602,363.02181641976335,40018.462668699
04/2017,89.33722977489647,389.7684548018173,26232.72661995566
05/2017,93.38627472010101,430.90722210144946,16388.05410670579
06/2017,109.11012399556928,230.33520362578474,9864.687420243374
07/2017,115.85789329890707,274.98351881786425,6152.215889591455
08/2017,113.84271333631317,450.7744922217459,4130.645759422569
09/2017,109.08238539553895,321.2792477099586,6968.7834395989275
10/2017,119.28677921347872,179.97346701066516,20756.620587447225
11/2017,150.6952459301167,200.74959146193993,34156.83507718429
12/2017,154.74511960886448,241.8989740709674,43364.26601632056
01/2018,153.92118398951146,353.7541405507493,43694.72386532033
02/2018,139.12645056730017,195.37859653382594,42154.9749787525
03/2018,155.7683432699216,101.18553286025265,38139.703815711415
04/2018,153.97167217048772,178.45854014218062,24616.722022532653
05/2018,157.30055892756627,318.97274760822563,15385.63073150139
06/2018,150.68665181383062,383.43457067073876,9018.350801192208
07/2018,156.60718459988388,230.49367577958776,5830.013857542348
08/2018,176.88974026553043,119.68459834815937,4360.472616490716
09/2018,172.6901991730926,375.302547092159,8899.564574816646
10/2018,177.6414562172061,388.00173515431715,22990.810537359142
11/2018,171.13230009947057,252.5242828272646,36220.946589521605
12/2018,177.81180648793293,262.5063710169432,42806.649395802524
01/2019,178.97942539441797,299.2093606310643,44974.524362578406
02/2019,161.05708363574692,293.49346227358836,41013.44555019616
03/2019,177.64707042878678,294.98205779829016,35852.31668382967
04/2019,175.80666581392452,314.0414075585164,22683.435775773676
05/2019,215.80566079425506,221.921156943712,14377.6985161204
