current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.12033347103121483,52.79672149464526,39918.63439763721
02/2016,-0.7764659945695179,305.4549307277057,45510.58310900063
03/2016,-1.8065522661290754,334.7172911412425,42355.525654924626
04/2016,-2.7096631116425436,465.5672860666012,27991.649476478055
05/2016,6.965012827702858,452.5545805850662,17459.217811699735
06/2016,40.02625954532541,282.13077589105524,10519.60108947695
07/2016,49.345623285015044,334.86168099016845,6450.986260770885
08/2016,49.051005943001734,392.2102387136263,4262.876300311137
09/2016,48.08906449260577,353.05043689891215,4938.632203608895
10/2016,71.45648728982121,207.96308575475203,18326.73167409387
11/2016,110.48404404397873,228.93445556171253,32007.40677916945
12/2016,114.1028418406669,337.3651134608114,43810.58955769135
01/2017,113.78835594402648,373.46829831844485,42444.58824195021
02/2017,103.15400544861221,200.94851370554116,43201.71794021952
03/2017,115.69974757674079,168.09678100584713,40200.26370697719
04/2017,113.151151775346,249.72189959862993,26365.822014070065
05/2017,116.7718934289512,273.8427574251519,16524.86577515944
06/2017,111.60077687800539,331.5552288560577,9769.699469259234
07/2017,120.32092242496363,226.55516674585027,6200.329395339984
08/2017,150.24362008813867,150.5734724275329,4411.7553696182995
09/2017,157.69102951357846,269.6130743161106,7001.682262335075
10/2017,166.1819721322782,427.1098607137703,20531.746213232727
11/2017,160.61036104220568,293.3254946930049,34076.600924221515
12/2017,165.93084778638806,197.04042896532064,43407.93480740571
01/2018,167.43410692299085,219.45131543753206,43815.159559533764
02/2018,150.74776764305923,195.01188007854648,42151.02004844169
03/2018,166.71049122637098,263.9572547996945,37995.41432505907
04/2018,160.4870131229884,243.30990496666186,24556.22039483296
05/2018,215.8472511472999,227.51662331628458,15472.273148613936
06/2018,218.6881011022357,282.3563477270396,9104.669541705789
07/2018,226.1401021642875,317.4219751154267,5745.124543480684
08/2018,226.94650397177566,339.35347609743485,4172.041699964439
09/2018,222.05072894464774,188.03286807439116,9080.084121439782
10/2018,318.04245537348623,218.85374847272985,23145.17930251882
11/2018,311.2659367432221,147.72563659353642,36310.55134222215
12/2018,320.945514933819,317.30555913855187,42753.57012942539
01/2019,322.1280576213086,260.06537632309386,45017.89543057753
02/2019,291.805008279536,122.73919678687565,41175.606950419235
03/2019,325.64649233131433,155.8078993352422,35977.78923682251
04/2019,312.5466789522952,209.1079544988995,22773.272478939354
05/2019,323.15199572991384,281.38612825648914,14320.771280908293
06/2019,311.28675832989734,346.2919077464523,8346.382082679735
07/2019,369.5872234153231,199.13436923024182,5505.961234523267
08/2019,384.5847858161322,181.9103549707731,4088.757475589109
01/2016,19.067177601680076,202.52681456340247,39920.808444452814
02/2016,5.0469290159280895,416.15865394744714,45404.776485480645
03/2016,4.518215061580315,533.7633088572945,42173.93688963515
04/2016,3.50938242670371,517.6918738775508,27950.197815223422
05/2016,9.497803581560486,369.37362075061577,17535.735322650507
06/2016,8.214317984655487,430.0627750082848,10387.573767499536
07/2016,6.607525075007301,599.3434701055404,6212.174242001062
08/2016,9.855882151972583,282.79669657344374,4383.975063394362
09/2016,54.44813456135989,316.79364514616947,4956.486951742941
10/2016,75.89055736206713,452.41714174508496,18104.651034949915
11/2016,72.66387680194244,458.7038185161038,31792.666823892778
12/2016,74.28122806824682,501.3405578744155,43669.7001429135
01/2017,76.32887970777783,355.4702264951154,42464.10180797026
02/2017,69.24485452381168,286.46018350857344,43120.49950187952
03/2017,76.02991637855806,459.271232184352,39934.092329521205
04/2017,72.9426160385213,477.91406265527075,26150.249914336102
05/2017,84.93281833260737,433.7772656488868,16386.41833190792
06/2017,102.17648444050188,271.7262427771536,9820.713504540374
07/2017,105.76185912003507,325.86370618154467,6105.874813999059
08/2017,103.68943149657903,567.9045091937927,4023.834456389698
09/2017,99.72416040102704,298.60148225628666,6992.666381107495
10/2017,122.86722975082174,260.4168419239077,20684.854749222395
11/2017,142.60983963935334,259.6687094491635,34103.11558431987
12/2017,146.38873083420643,313.5759263904197,43297.56157323955
01/2018,145.8719390384403,366.64848541970593,43682.93962882636
02/2018,132.10243924584034,188.83481228937146,42165.13266361551
03/2018,148.47577370714762,156.2466417577432,38094.4421418852
04/2018,143.51590755807536,226.39664704442364,24571.116315258634
05/2018,144.74157752239196,387.1755883031929,15323.078836620109
06/2018,136.64361692241536,469.3040265681503,8931.639117349616
07/2018,147.16068876570637,414.0279445113882,5670.4825122725915
08/2018,170.34115679476886,182.01325585087397,4304.61924687482
09/2018,179.9255796623463,415.82947080838244,8861.529366203255
10/2018,185.1187008549359,419.9229510478555,22961.01639710932
