current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.10646185862912053,53.39184017511059,39915.77797746754
02/2016,-0.722805639321978,333.4761727898939,45483.85541282732
03/2016,-1.7036510535695206,369.0228222664156,42323.64614079061
04/2016,-2.565331273564659,509.5136485921026,27952.015857108265
05/2016,7.997103996555605,486.3627846356298,17430.598352122917
06/2016,43.378638961484874,288.6474878860545,10511.81075062874
07/2016,52.055288887843155,352.5766767096166,6437.076391904682
08/2016,51.04596842508362,413.8991154664311,4244.8881202553675
09/2016,49.685681743782055,396.06571825008996,4903.063027927458
10/2016,74.07111915154337,244.49483743842723,18293.670028746397
11/2016,113.64498501768264,253.55041481096674,31981.837382602553
12/2016,117.99259860523014,365.9326685781028,43783.45846787609
01/2017,117.6996304079812,409.29927810943474,42413.24796139781
02/2017,106.5159077679656,233.073220987817,43171.478615523985
03/2017,119.57295958649803,198.65993564973084,40169.11178954449
04/2017,116.97893580676308,277.0245857733927,26337.426623463547
05/2017,120.68147863878443,306.8063069531462,16494.328287540524
06/2017,115.79797606529773,362.70447447170693,9741.316151883457
07/2017,123.677024401514,252.0097354207064,6180.35137578384
08/2017,153.234730777554,174.46364769782758,4386.598281340879
09/2017,160.63134954339677,291.6685338802799,6983.85309741674
10/2017,168.9017772508008,467.9010936481391,20495.840388375454
11/2017,163.19888972988386,325.2899040389555,34048.606657010416
12/2017,168.61324495825218,221.14612594243786,43385.53691997937
01/2018,170.07678893152564,241.95510858417848,43793.650332053054
02/2018,153.2804324925905,210.8924736554374,42138.275995973556
03/2018,169.32735136473204,291.90383183576625,37971.46034353874
04/2018,162.95994349889,266.9310516470509,24534.414266633285
05/2018,220.2516268731297,237.89522595481287,15458.680522898836
06/2018,221.63473431912203,313.9102785977223,9074.492044299475
07/2018,229.45835054258157,343.8359422742594,5722.296642179607
08/2018,230.3412735524542,372.5846006502981,4145.240358469015
09/2018,225.4941629773251,224.25492057341754,9047.924226361565
10/2018,325.479429113362,248.31516725129237,23116.679363269093
11/2018,317.53407738592495,169.8824903434769,36289.408866536876
12/2018,327.4369545515187,345.6965987750167,42728.37783149146
01/2019,328.4512012284443,294.1445736126506,44983.24672737684
02/2019,297.3444195687759,148.87389238976533,41149.228237945026
03/2019,332.3103406457327,177.76079256122225,35955.9202833585
04/2019,319.0274029243301,234.5307835858913,22749.469900020737
05/2019,329.95264309747887,312.5685566583981,14293.69570198673
06/2019,318.18826693935785,377.2692964641313,8319.882158055309
07/2019,378.5402640599267,219.27898619633712,5489.266612516778
08/2019,396.5805063462455,200.10303920072084,4071.578935083666
01/2016,20.144345956135382,163.19054858268694,39960.759558187536
02/2016,5.659934673548549,338.63917758837505,45480.03321153576
03/2016,5.207178259304472,431.81040264443834,42271.5283383293
04/2016,4.209328086907703,423.5390777950661,28038.51237433905
05/2016,10.393539343982114,305.12812063123084,17594.980236857817
06/2016,9.037325380922633,359.88743187680154,10450.408045355598
07/2016,7.4195723669870395,502.0913299015926,6300.381622729745
08/2016,10.74864671653274,249.72723908356886,4415.7337784152505
09/2016,60.122285467067755,263.5455138366598,5008.092821481036
10/2016,83.48697659357018,376.9329964957418,18173.034167543767
11/2016,80.01384880719617,377.6897744539552,31868.757874122588
12/2016,81.874796222238,416.1449507101753,43746.49179416295
01/2017,84.09294601949956,295.11956187787575,42518.416208135735
02/2017,76.3691908201325,234.32434030084005,43167.778156895605
03/2017,83.93205234886338,383.6706461082683,40003.60480841918
04/2017,80.6043975432,396.00734084972316,26226.246353471975
05/2017,93.95821579333281,356.50357929263157,16453.165404721345
06/2017,112.42199628160182,227.98154682153617,9859.76202916881
07/2017,116.60849604298502,272.42777237599773,6154.096475806665
08/2017,114.5026893792353,473.4475912406933,4110.904164847546
09/2017,110.16492801571648,261.2971488985459,7026.281046927933
10/2017,135.8771953563135,219.6234869517567,20725.077281651567
11/2017,157.4243076578015,211.92669579711594,34146.74274488717
12/2017,161.6869277466131,255.38727739448032,43350.75893501473
01/2018,161.1469904630558,307.71342316116636,43733.8196125561
02/2018,145.8967213631735,161.24908575107364,42186.00232861784
03/2018,164.24428277475448,126.62418670352972,38120.91582187685
04/2018,159.13950246957614,185.3713882395851,24609.83769339541
05/2018,161.03168141140216,324.7840466164326,15380.527748773808
06/2018,152.56723585811088,393.4329666984519,9002.53444970246
07/2018,164.41682414058366,336.8665752215736,5744.5785323544305
08/2018,189.59124084690956,145.81400325214156,4341.671737597435
09/2018,197.82852144175178,348.3192899962594,8924.188904174964
10/2018,203.6169120038708,347.6467866140589,23027.385606839816
11/2018,196.26898414686966,260.60692596400065,36213.6492066678
12/2018,203.12802185193448,293.01450362115327,42778.83342042334
01/2019,205.21589597761525,282.3777249221402,44989.67731095919
02/2019,184.79680763415357,282.6425268240274,41024.6062927
03/2019,203.97711402167505,282.33008518953125,35864.865031723515
04/2019,197.25536348578098,313.817410555153,22675.346476724568
05/2019,242.39116211013504,214.12802487970535,14384.714993426602
06/2019,242.5445067007244,273.72869910739576,8410.079098999544
