current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.1231160529481985,64.13675315345135,39908.435542361345
02/2016,-0.7083269271586559,343.2686058288361,45476.779458230696
03/2016,-1.538452831104377,376.18195371201074,42318.52966226437
04/2016,-2.2581407640811806,514.9744677538101,27946.424134584533
05/2016,6.908079236898508,498.41674235591614,17416.54790058594
06/2016,41.48822357082527,308.43521474294175,10499.261997779588
07/2016,47.44211286382221,383.96040794710296,6409.743533854784
08/2016,45.77487917833526,458.3790578300958,4207.346159943814
09/2016,45.52787862969932,382.45522479456804,4911.274999839975
10/2016,66.21995396302918,216.1725921994705,18314.67030481771
11/2016,108.39707041553933,251.08844183631493,31984.890988474515
12/2016,112.1242626413723,379.1335351743377,43773.0339887729
01/2017,111.82869888546901,421.7581719322334,42402.48697674828
02/2017,101.7215088951257,214.17254119901094,43184.943634648786
03/2017,114.3807216222542,167.71106721750266,40194.65517341987
04/2017,111.71934127649159,270.3258817339924,26344.667925665326
05/2017,113.41487671572021,309.38551545805876,16491.774990122198
06/2017,107.46292903566408,369.272457431651,9735.902806385666
07/2017,117.05484518451959,274.8401370594212,6155.847590875431
08/2017,157.78442134879705,159.6329216851907,4402.5405317239
09/2017,173.94894920027357,298.2872051988531,6975.241022670758
10/2017,181.14721887070237,474.83678453549174,20489.219964041906
11/2017,174.81263581104227,341.7978498778706,34033.53620954916
12/2017,180.47955228247696,229.09024342797315,43378.568712825174
01/2018,182.08216290704627,245.03311187870835,43789.95645791768
02/2018,163.99001322267372,221.17268978967766,42127.30532097425
03/2018,181.06591246557457,303.691127570388,37960.68102582922
04/2018,174.50046414279754,279.20192914725067,24524.427739140978
05/2018,210.58834969797496,254.94123775495842,15448.741684946013
06/2018,213.09583606920256,301.73344540967383,9086.264315348442
07/2018,220.21514953227336,351.5637707471638,5717.009701487951
08/2018,219.9319144284919,393.75085595376765,4125.792654257941
09/2018,213.03985109005774,188.24121215189876,9077.3292640216
10/2018,244.5775884078207,224.19785447685652,23137.686928417617
11/2018,238.15749096065562,167.67014791099916,36292.42642351898
12/2018,245.17845032530482,362.69240882750194,42713.68979744779
01/2019,245.4407386958737,284.12125597087714,44993.27292435927
02/2019,222.57219404661745,122.50685668417496,41171.55205593204
03/2019,249.24443280611052,160.9289326895131,35971.582868757345
04/2019,238.05189240720873,227.58861560813014,22755.38891440715
05/2019,242.24851580843148,322.88136899580127,14282.510254023075
06/2019,233.84610751757003,387.9857725229771,8310.601679675785
07/2019,307.76516103030946,211.41022959081394,5496.7282950091885
08/2019,338.71728372031816,188.731947426503,4082.0616375293953
01/2016,17.537964869184446,176.4075716387168,39948.17018088781
02/2016,4.950700363228082,370.68395495924545,45449.584422101194
03/2016,4.498535633946258,473.7790175222654,42231.883956144164
04/2016,3.57222855517475,461.50998409568564,28003.67771227567
05/2016,6.9883276119288995,317.9683204640282,17584.617699114904
06/2016,4.783640049057609,362.0268020249593,10449.335766123266
07/2016,3.139602143686203,505.5113957422152,6298.474876348045
08/2016,8.585062593157957,227.0243732937592,4431.016422042066
09/2016,44.964319450468935,269.06397645888364,5000.636397533861
10/2016,59.91118313178858,380.2485039075241,18170.231024004457
11/2016,57.19801200470905,383.4115444164667,31863.221127996472
12/2016,58.29789399698879,411.76991455154405,43750.61976496478
01/2017,60.835498946644265,290.9750251435132,42522.213145633534
02/2017,55.2441125471337,234.8622301678625,43167.473693708365
