current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.1305209918640909,62.882243744557314,39909.62866533471
02/2016,-0.703701420346962,342.00649613224687,45477.13925340093
03/2016,-1.4795981469136257,370.5890611543624,42322.07299348374
04/2016,-2.148148295515157,517.9633862248804,27944.326740470966
05/2016,6.906755797278095,514.6033268398673,17406.02918829172
06/2016,41.21478953647636,316.2302084889482,10493.888116561386
07/2016,46.777952775594905,363.7299412738531,6431.041207173609
08/2016,44.89868030634637,438.50529894337586,4228.042738488839
09/2016,44.4285813824969,365.2840348287432,4923.866154508227
10/2016,66.36293278087544,220.1646812743955,18306.708891984854
11/2016,105.27277581003165,264.06875925845605,31972.206420988623
12/2016,108.31560715556057,382.42032401516076,43770.51895884861
01/2017,108.00536306549543,425.91846161184037,42400.703781782926
02/2017,97.9204595049405,224.4245106694328,43176.86711750248
03/2017,110.05876335471865,172.96703010137801,40186.95501007554
04/2017,107.60176185876003,281.84249529959027,26333.881840197413
05/2017,111.65912897188868,305.2510920040998,16496.68898627541
06/2017,107.20187792760657,361.4950326371875,9744.666070253195
07/2017,114.54917415490515,234.8926331704511,6192.191773979956
08/2017,141.49559537231923,161.29170393374326,4396.554504202302
09/2017,146.5270655849604,296.7808868101881,6978.790099086801
10/2017,155.4912394897596,469.85333798012,20494.430295237107
11/2017,150.38487669433223,328.3400862079444,34047.06053406656
12/2017,155.3846858011209,220.5924310418475,43386.068195378735
01/2018,156.80679254740096,243.556013497798,43791.82541919613
02/2018,141.14920847738807,213.6752455908464,42134.741115017794
03/2018,156.0318622802777,293.1831645852752,37969.7098657311
04/2018,149.99968754629438,276.7976860361741,24528.038045063862
05/2018,201.46450678421127,262.93832276282234,15444.411060390197
06/2018,203.62271176036398,314.6926889260761,9074.055315590462
07/2018,210.78933945849712,358.2952616161426,5711.423236585431
08/2018,212.57550163218366,369.7823182431046,4150.862707553978
09/2018,208.45828610502565,190.55053669019955,9068.453804887293
10/2018,297.52814704500906,245.481856108253,23115.215823375624
11/2018,289.5595805700534,177.28926130983993,36283.34389550943
12/2018,298.5577238165745,356.2289387094719,42721.69287749425
01/2019,299.5491674880054,297.0416490825976,44984.097710898655
02/2019,271.45317500504086,128.4438654600442,41162.781726295216
03/2019,303.0522041089031,179.5830008176734,35953.06470577838
04/2019,290.9644043162782,235.11309536198468,22748.738006592786
05/2019,301.9189780535913,307.3366539988269,14297.849770856898
06/2019,291.3440351931556,381.62609817372726,8317.49454232681
07/2019,351.7699397624534,197.290866204755,5503.954130400413
08/2019,364.801134011434,196.1102308190784,4073.650557805536
01/2016,8.392508768480722,171.91689634406626,39953.62107348993
02/2016,7.019984671348963,346.2956497845434,45474.216116840915
03/2016,6.614947356546317,443.43487006676077,42263.33804173732
04/2016,5.52635454778419,431.5881751694653,28033.122206283795
05/2016,11.912169729034783,310.3654703191461,17591.749231974438
06/2016,10.827941903721431,363.5381903449621,10448.72323421009
07/2016,9.385702015842256,506.9355491511069,6298.567671102435
08/2016,13.001690868115867,217.24828612660448,4434.600051488865
09/2016,54.20690363167949,258.9960271369525,5009.354005461479
10/2016,75.01859127181184,378.4907198891779,18171.564746694687
11/2016,71.82028006111264,382.70275376539655,31864.762057173848
12/2016,73.40979410445931,419.4786994534573,43743.35712247872
01/2017,75.41495675888612,297.86004584210065,42515.99235961972
02/2017,68.41455816749986,238.77660707602118,43163.33933941469
03/2017,75.07136132817074,377.4886999273854,40006.08233145706
04/2017,71.97571397893216,403.73381565123424,26221.725613018003
05/2017,83.01953361386865,375.14674948435044,16441.580094759334
06/2017,99.74549033976953,233.80754901636527,9857.855536157038
07/2017,103.52772011122633,275.5585540223092,6152.6231974122165
08/2017,101.52842888619642,481.7836493000144,4107.07919606616
09/2017,97.77134221341845,236.9208058875811,7040.742028709702
10/2017,119.29053669188384,208.13286115713953,20730.459456928453
11/2017,138.07013082510872,216.35822395338326,34142.73904860598
12/2017,141.7043856703262,263.82475580228333,43344.51517279453
01/2018,141.13329699522336,314.13285752903977,43729.909468067635
02/2018,127.8411409482499,154.59102213409147,42190.61682559767
03/2018,143.77003833604007,123.60871673575491,38121.07312815455
04/2018,139.0890030474662,189.54367701498148,24606.566101789762
05/2018,140.4074077443783,323.6057139122369,15381.852016816698
06/2018,132.6849668440417,392.09963393818526,9003.167906782886
07/2018,143.79824401057945,341.52014337272664,5739.724181766439
08/2018,166.8881866671826,136.93906620698476,4346.086648070077
09/2018,174.15699002332798,348.54894402054487,8923.933481240598
10/2018,179.15803691176328,350.9941494781366,23022.944688929412
11/2018,172.60071620058773,271.06357234551865,36205.45262242187
12/2018,178.59693253069577,294.8684167839306,42777.36835934221
01/2019,180.46657878140627,283.52749962547193,44988.836451099094
02/2019,162.39400137168803,282.7471492727369,41023.2830064272
03/2019,179.12021915018047,283.6265484876427,35862.10958388882
04/2019,173.25389335604697,324.956080890153,22667.818991765573
05/2019,212.17664241157541,236.41287864964414,14371.429357900455
06/2019,212.92085856492744,275.9571403519407,8408.980919506073
07/2019,218.05141347229255,368.5376810529307,5344.078158970238
08/2019,209.27537358448618,384.5071669038324,3915.0987045514007
01/2016,8.090170001265603,78.93826311551481,40038.57471222062
02/2016,6.171837103996636,129.47915700583064,45671.6588090658
03/2016,5.104607767861378,151.15692602432048,42524.42600764043
04/2016,3.470851844491816,185.1870986105439,28248.35972198257
05/2016,21.96550149563955,234.62137790561087,17651.461665089537
06/2016,28.59291622516482,361.37191370093353,10450.503625608337
07/2016,27.578767771683186,497.92919490167185,6307.279569537422
08/2016,29.769353769038148,293.3949524915987,4365.114879993363
09/2016,53.772485147584874,203.6855429172082,5062.045481094079
10/2016,93.04404363998844,351.2800762657123,18194.00077506288
11/2016,89.26449590731144,330.86222430439574,31911.407225357056
12/2016,91.43550845716047,444.894973789591,43720.442773653864
01/2017,92.34582753979433,326.47251544277253,42491.97847009543
02/2017,84.66916548491204,224.72422818083456,43175.985317341605
03/2017,93.06764052346149,356.26801335593825,40024.47077615977
04/2017,89.39158032275013,382.87230506377244,26239.300985085978
05/2017,93.41174270522842,424.42276041457285,16394.09528345508
06/2017,108.95614994058948,228.54217315343058,9866.932163969503
07/2017,115.76224353308257,270.409890947586,6156.492825309066
08/2017,113.76310487658628,443.67194546738284,4137.607343304624
09/2017,109.02946602406328,314.3880994209928,6974.7376293632615
10/2017,119.16526350032872,173.95809230901426,20761.43328071609
11/2017,150.103332996938,197.66183016717167,34159.65569119934
12/2017,154.1387883422352,238.25460315672402,43367.411010095646
01/2018,153.32221176243425,347.9799830228443,43699.8591273417
02/2018,138.60123856842796,190.41341202462925,42159.41235748745
03/2018,155.18561778982664,97.48233925666042,38143.58952172205
04/2018,153.28619305571905,175.69502029470442,24619.268863522648
05/2018,156.6112237204908,313.6618439333924,15390.357949604124
06/2018,150.04031790319965,376.3528914872485,9024.798948659416
07/2018,155.98976363260877,225.7869855608708,5835.515023875906
08/2018,175.89045451246682,117.06949389302724,4362.9810848902125
09/2018,171.65699120053844,368.6692072476722,8905.779882888672
10/2018,176.57457090624584,381.3623370562399,22996.664698567656
11/2018,170.100558543036,249.16979765724327,36224.228772889444
12/2018,176.74405301644614,258.0872569204331,42810.598895890354
01/2019,177.90387243854653,294.07848091747326,44979.322339437815
02/2019,160.0792646343164,288.06630023941415,41018.29709518264
03/2019,176.557450249074,290.36188746638544,35856.56931628346
04/2019,174.68450647388136,309.9370156861743,22687.27547969193
05/2019,214.28020585699085,219.75221022287568,14380.18240163753
06/2019,210.1962678429823,283.8971595701487,8401.931598018127
07/2019,215.23594725832052,395.3657498251344,5320.027397298305
08/2019,206.68466676160784,323.15502159941013,3969.199669831717
01/2016,8.09017032058748,78.82917355723242,40038.676857505256
02/2016,6.171837813500401,129.43300373117268,45671.71433419488
03/2016,5.10460911593032,151.03846595269846,42524.52461712675
