current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.1416787035999284,61.463339467885945,34276.358228091645
02/2016,-0.722069568702377,341.3847251700775,39025.51656751354
03/2016,-1.5053119466138385,368.548674043544,36310.919681825726
04/2016,-2.179017437188803,518.8280152040941,23939.24205132541
05/2016,7.838583880236013,507.39780702387753,14897.083191774454
06/2016,39.007021330749936,324.97173638187894,8968.335560186528
07/2016,44.738818421860536,363.77392502529693,5472.2694404249105
08/2016,42.83903915353921,440.64310914131545,3565.397486610747
09/2016,43.149282739875254,360.6201763072288,4190.847144486944
10/2016,64.35449522927205,223.87949753812867,15700.434199938785
11/2016,98.47857706012742,258.2904713083392,27439.057134126146
12/2016,101.99200646442574,381.6078035066037,37553.80980252881
01/2017,101.87667790358661,416.4853873272387,36380.115129357415
02/2017,92.60479662643354,218.95547036164714,37074.47610248536
03/2017,104.33716245345056,181.06045416319589,34500.91447782623
04/2017,101.41630410961494,274.57158141384326,22592.941657434436
05/2017,103.68033606257367,303.2557476922036,14133.643128103948
06/2017,98.50112183728234,364.57018889433414,8320.045323192733
07/2017,108.54478535442034,269.1773076221684,5258.093503497776
08/2017,149.6741714176171,172.50391358952453,3750.0820796367184
09/2017,164.36288438083213,290.7793920207944,5959.474595430293
10/2017,173.34822164329927,462.85126303481087,17550.632811295207
11/2017,167.58196127591242,329.27278355488886,29205.969922017346
12/2017,172.97652734372926,226.607143691133,37241.73593437485
01/2018,174.46628866053558,239.76794556069467,37593.45420476686
02/2018,157.0960092335299,208.1493462896029,36173.70893225679
03/2018,173.57668264537497,287.6980975344325,32585.978576152473
04/2018,167.04360055004935,274.1056589306661,21037.645426965835
05/2018,199.09771612600963,271.6841493672419,13227.692368334303
06/2018,201.16425780293767,311.4078486396587,7759.974467115324
07/2018,209.62710766428506,350.7239928945223,4865.476432299268
08/2018,211.99975346403772,373.0790825159554,3511.7163822237994
09/2018,206.31584534593463,164.13215580179758,7791.444146092338
10/2018,234.7120475162641,222.87318533677674,19851.76513594213
11/2018,228.0347170680215,163.1594500949141,31160.87569396447
12/2018,234.76698081739502,359.14361714202676,36652.98998791298
01/2019,234.9263317651596,291.21536242273214,38613.224639068154
02/2019,213.26617479096944,117.50374079905184,35359.55256213092
03/2019,238.6895832408225,162.20003228127283,30881.817913941457
04/2019,227.88738493073942,224.4777783408767,19522.73764725267
05/2019,231.92419368186611,320.96682054427464,12230.47567064702
06/2019,224.75633193280416,385.015786401822,7092.791648510622
07/2019,302.32425069806766,182.34901530018797,4716.813055955709
08/2019,329.6004071090719,178.7947158809168,3487.9129508313426
01/2016,18.227798585971062,176.36929227922457,44411.39979220494
02/2016,5.992148409674456,369.563089830011,50585.08702857839
03/2016,5.615112018694158,472.72155467543166,47017.447897689686
04/2016,4.656041191396533,459.7528959230712,31191.925053667546
05/2016,8.131859073170897,318.29439841118483,19588.954950246378
06/2016,5.976975158002952,363.5456559295141,11657.034073627365
07/2016,4.478499487048666,507.9892212773587,7055.638054350166
